Date,Open,High,Low,Close,Volume,Market Cap
"Mar 16, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 64,07,110.00","$ 39,88,39,483.00"
"Mar 15, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 93,16,740.00","$ 40,16,76,595.00"
"Mar 14, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 75,32,350.00","$ 40,02,29,180.00"
"Mar 13, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 60,06,560.00","$ 44,97,68,151.00"
"Mar 12, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 76,01,500.00","$ 45,78,16,698.00"
"Mar 11, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 92,51,440.00","$ 47,79,71,379.00"
"Mar 10, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 98,80,540.00","$ 45,10,32,436.00"
"Mar 09, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,36,24,400.00","$ 47,06,09,046.00"
"Mar 08, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,54,99,400.00","$ 45,68,37,512.00"
"Mar 07, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,75,85,500.00","$ 45,67,05,754.00"
"Mar 06, 2018",$ 0.01,$ 0.01,$ 0.00,$ 0.00,"$ 1,47,66,900.00","$ 52,31,41,571.00"
"Mar 05, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,36,27,700.00","$ 59,19,86,388.00"
"Mar 04, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,21,33,500.00","$ 62,41,58,962.00"
"Mar 03, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 2,15,45,000.00","$ 60,12,85,949.00"
"Mar 02, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 2,24,98,100.00","$ 62,17,26,561.00"
"Mar 01, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,55,18,400.00","$ 70,48,12,282.00"
"Feb 28, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,32,27,600.00","$ 68,24,19,942.00"
"Feb 27, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,22,01,900.00","$ 71,32,70,307.00"
"Feb 26, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,20,68,600.00","$ 71,86,03,157.00"
"Feb 25, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,17,58,800.00","$ 69,62,35,030.00"
"Feb 24, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,56,87,300.00","$ 71,67,69,751.00"
"Feb 23, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,93,90,500.00","$ 75,33,53,115.00"
"Feb 22, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 2,03,65,500.00","$ 70,91,68,605.00"
"Feb 21, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 3,68,13,100.00","$ 74,55,81,440.00"
"Feb 20, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 10,79,11,000.00","$ 80,36,59,982.00"
"Feb 19, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,30,19,200.00","$ 75,85,06,771.00"
"Feb 18, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,52,91,500.00","$ 72,75,88,696.00"
"Feb 17, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,83,33,100.00","$ 79,82,67,106.00"
"Feb 16, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 2,65,53,900.00","$ 79,63,86,651.00"
"Feb 15, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 4,32,75,000.00","$ 83,17,93,418.00"
"Feb 14, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 4,05,27,400.00","$ 76,19,14,124.00"
"Feb 13, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,41,49,700.00","$ 63,81,24,005.00"
"Feb 12, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,11,24,300.00","$ 61,93,04,749.00"
"Feb 11, 2018",$ 0.01,$ 0.01,$ 0.00,$ 0.01,"$ 1,13,09,800.00","$ 56,08,68,396.00"
"Feb 10, 2018",$ 0.01,$ 0.01,$ 0.00,$ 0.01,"$ 1,67,17,300.00","$ 56,45,42,285.00"
"Feb 09, 2018",$ 0.00,$ 0.01,$ 0.00,$ 0.01,"$ 1,11,90,100.00","$ 56,56,81,599.00"
"Feb 08, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 94,62,680.00","$ 51,65,15,304.00"
"Feb 07, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,29,90,100.00","$ 48,60,04,813.00"
"Feb 06, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,91,39,100.00","$ 49,31,53,304.00"
"Feb 05, 2018",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,24,89,400.00","$ 39,95,24,306.00"
"Feb 04, 2018",$ 0.01,$ 0.01,$ 0.00,$ 0.00,"$ 1,29,61,600.00","$ 49,73,64,799.00"
"Feb 03, 2018",$ 0.00,$ 0.01,$ 0.00,$ 0.01,"$ 1,80,18,100.00","$ 58,38,00,030.00"
"Feb 02, 2018",$ 0.01,$ 0.01,$ 0.00,$ 0.00,"$ 2,99,13,700.00","$ 50,57,97,136.00"
"Feb 01, 2018",$ 0.01,$ 0.01,$ 0.00,$ 0.01,"$ 1,87,48,700.00","$ 56,84,02,416.00"
"Jan 31, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,47,54,700.00","$ 67,91,99,153.00"
"Jan 30, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,58,55,900.00","$ 68,06,37,218.00"
"Jan 29, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,30,73,100.00","$ 78,71,22,893.00"
"Jan 28, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,40,70,700.00","$ 84,32,37,988.00"
"Jan 27, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,16,72,900.00","$ 83,27,60,567.00"
"Jan 26, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,95,72,300.00","$ 81,72,96,655.00"
"Jan 25, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 2,13,29,400.00","$ 86,57,45,131.00"
"Jan 24, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,74,49,900.00","$ 79,97,55,503.00"
"Jan 23, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,78,82,700.00","$ 75,33,93,585.00"
"Jan 22, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 1,99,68,600.00","$ 76,00,95,989.00"
"Jan 21, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 2,29,33,100.00","$ 80,48,77,210.00"
"Jan 20, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 2,29,74,100.00","$ 95,33,43,861.00"
"Jan 19, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 3,03,35,700.00","$ 88,81,17,577.00"
"Jan 18, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 5,65,99,300.00","$ 89,91,02,560.00"
"Jan 17, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 5,88,46,200.00","$ 86,28,12,720.00"
"Jan 16, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,80,99,200.00","$ 76,95,58,552.00"
"Jan 15, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,27,65,500.00","$ 1,11,17,60,879.00"
"Jan 14, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,58,99,000.00","$ 1,31,77,16,492.00"
"Jan 13, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 5,58,90,600.00","$ 1,46,85,29,067.00"
"Jan 12, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 5,69,71,300.00","$ 1,47,20,34,319.00"
"Jan 11, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,27,22,000.00","$ 1,29,29,66,655.00"
"Jan 10, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 10,02,43,000.00","$ 1,47,68,52,402.00"
"Jan 09, 2018",$ 0.02,$ 0.02,$ 0.01,$ 0.01,"$ 11,52,55,000.00","$ 1,51,25,08,348.00"
"Jan 08, 2018",$ 0.02,$ 0.02,$ 0.01,$ 0.02,"$ 23,51,14,000.00","$ 1,69,54,30,616.00"
"Jan 07, 2018",$ 0.01,$ 0.02,$ 0.01,$ 0.02,"$ 28,81,84,000.00","$ 1,92,53,82,961.00"
"Jan 06, 2018",$ 0.01,$ 0.02,$ 0.01,$ 0.01,"$ 28,37,16,992.00","$ 1,67,44,91,225.00"
"Jan 05, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 21,23,83,008.00","$ 1,37,06,04,721.00"
"Jan 04, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 10,89,86,000.00","$ 1,08,62,39,171.00"
"Jan 03, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,63,49,900.00","$ 1,04,95,88,235.00"
"Jan 02, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 8,94,24,096.00","$ 1,02,97,97,362.00"
"Jan 01, 2018",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 5,06,16,900.00","$ 1,00,30,50,473.00"
"Dec 31, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,22,56,400.00","$ 1,01,00,10,339.00"
"Dec 30, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 5,61,75,300.00","$ 88,48,10,743.00"
"Dec 29, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,24,74,900.00","$ 1,05,69,55,586.00"
"Dec 28, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 5,12,01,500.00","$ 95,49,63,150.00"
"Dec 27, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 6,36,25,500.00","$ 99,83,14,075.00"
"Dec 26, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 12,44,27,000.00","$ 1,05,88,77,173.00"
"Dec 25, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 17,80,08,992.00","$ 1,00,46,74,178.00"
"Dec 24, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 14,37,67,008.00","$ 96,53,64,620.00"
"Dec 23, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 7,01,43,104.00","$ 81,64,28,067.00"
"Dec 22, 2017",$ 0.01,$ 0.01,$ 0.00,$ 0.01,"$ 6,36,93,900.00","$ 68,07,66,390.00"
"Dec 21, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 15,91,54,000.00","$ 83,48,20,435.00"
"Dec 20, 2017",$ 0.01,$ 0.01,$ 0.00,$ 0.01,"$ 6,78,20,000.00","$ 74,89,07,795.00"
"Dec 19, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 3,88,85,700.00","$ 63,69,24,902.00"
"Dec 18, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 4,41,58,800.00","$ 72,30,23,421.00"
"Dec 17, 2017",$ 0.01,$ 0.01,$ 0.01,$ 0.01,"$ 9,94,17,200.00","$ 67,24,88,067.00"
"Dec 16, 2017",$ 0.00,$ 0.01,$ 0.00,$ 0.01,"$ 13,63,52,992.00","$ 66,67,27,523.00"
"Dec 15, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,90,43,800.00","$ 42,26,78,524.00"
"Dec 14, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 2,34,26,200.00","$ 41,66,83,565.00"
"Dec 13, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 3,11,50,900.00","$ 38,87,50,770.00"
"Dec 12, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,92,28,600.00","$ 37,10,78,320.00"
"Dec 11, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 70,17,140.00","$ 31,41,79,916.00"
"Dec 10, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 56,14,920.00","$ 28,59,60,070.00"
"Dec 09, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 65,64,530.00","$ 29,38,06,517.00"
"Dec 08, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,17,97,600.00","$ 31,19,78,308.00"
"Dec 07, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,57,59,300.00","$ 30,53,23,590.00"
"Dec 06, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 90,47,960.00","$ 29,88,26,686.00"
"Dec 05, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 87,72,420.00","$ 27,82,42,796.00"
"Dec 04, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 63,07,150.00","$ 27,64,09,782.00"
"Dec 03, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 47,51,640.00","$ 24,94,05,607.00"
"Dec 02, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 49,78,180.00","$ 24,10,24,466.00"
"Dec 01, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 52,58,110.00","$ 24,09,29,705.00"
"Nov 30, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 49,19,490.00","$ 23,31,64,227.00"
"Nov 29, 2017",$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 1,10,77,200.00","$ 23,32,80,395.00"
