Date,Open,High,Low,Close,Volume,Market Cap
"Mar 03, 2020","$ 8,865.39","$ 8,901.60","$ 8,704.99","$ 8,787.79","$ 42,38,67,15,821.00","$ 1,60,38,35,79,416.00"
"Mar 02, 2020","$ 8,563.26","$ 8,921.31","$ 8,532.63","$ 8,869.67","$ 42,85,76,74,409.00","$ 1,61,86,11,67,745.00"
"Mar 01, 2020","$ 8,599.76","$ 8,726.80","$ 8,471.21","$ 8,562.45","$ 35,34,91,64,300.00","$ 1,56,23,89,87,740.00"
"Feb 29, 2020","$ 8,671.21","$ 8,775.63","$ 8,599.51","$ 8,599.51","$ 35,79,23,92,544.00","$ 1,56,89,59,88,084.00"
"Feb 28, 2020","$ 8,788.73","$ 8,890.46","$ 8,492.93","$ 8,672.46","$ 44,60,54,50,443.00","$ 1,58,21,17,07,019.00"
"Feb 27, 2020","$ 8,825.09","$ 8,932.89","$ 8,577.20","$ 8,784.49","$ 45,47,01,95,695.00","$ 1,60,23,84,96,932.00"
"Feb 26, 2020","$ 9,338.29","$ 9,354.78","$ 8,704.43","$ 8,820.52","$ 50,42,00,50,762.00","$ 1,60,87,94,89,024.00"
"Feb 25, 2020","$ 9,651.31","$ 9,652.74","$ 9,305.02","$ 9,341.71","$ 42,51,52,59,129.00","$ 1,70,36,95,81,558.00"
"Feb 24, 2020","$ 9,921.58","$ 9,951.75","$ 9,537.04","$ 9,650.17","$ 45,08,04,96,648.00","$ 1,75,97,78,08,526.00"
"Feb 23, 2020","$ 9,663.32","$ 9,937.40","$ 9,657.79","$ 9,924.52","$ 41,18,51,85,761.00","$ 1,80,96,32,33,540.00"
"Feb 22, 2020","$ 9,687.71","$ 9,698.23","$ 9,600.73","$ 9,663.18","$ 35,83,80,25,154.00","$ 1,76,18,06,96,548.00"
"Feb 21, 2020","$ 9,611.78","$ 9,723.01","$ 9,589.74","$ 9,686.44","$ 40,93,05,47,513.00","$ 1,76,58,70,87,363.00"
"Feb 20, 2020","$ 9,629.33","$ 9,643.22","$ 9,507.90","$ 9,608.48","$ 44,92,52,60,237.00","$ 1,75,14,71,42,158.00"
"Feb 19, 2020","$ 10,143.80","$ 10,191.68","$ 9,611.22","$ 9,633.39","$ 46,99,20,19,710.00","$ 1,75,58,59,31,679.00"
"Feb 18, 2020","$ 9,691.23","$ 10,161.94","$ 9,632.38","$ 10,142.00","$ 47,27,10,23,953.00","$ 1,84,83,85,12,656.00"
"Feb 17, 2020","$ 9,936.56","$ 9,938.82","$ 9,507.64","$ 9,690.14","$ 45,99,82,98,413.00","$ 1,76,58,52,80,987.00"
